Date,Time,Temperature,Humidity,Pressure,RainfallLastHour,uvIndex,WindSpeed,SoilMoisture
2024-12-31,00:00:00,-2.72000002861023,94.2699966430664,1021.40997314453,0,"0",0,"43"
2024-12-31,00:01:00,-2.75,94.1900024414062,1021.34997558594,0,"0",0,"43"
2024-12-31,00:02:00,-2.77999997138977,94.2200012207031,1021.34002685547,0,"0",0,"43"
2024-12-31,00:03:00,-2.77999997138977,94.2200012207031,1021.34002685547,0,"0",0,"43"
2024-12-31,00:04:00,-2.78999996185303,94.2099990844727,1021.33001708984,0,"0",0,"43"
2024-12-31,00:05:00,-2.78999996185303,94.25,1021.33001708984,0,"0",0,"43"
2024-12-31,00:06:00,-2.77999997138977,94.2600021362305,1021.33001708984,0,"0",0,"43"
2024-12-31,00:07:00,-2.75999999046326,94.2699966430664,1021.28997802734,0,"0",0,"43"
2024-12-31,00:08:00,-2.75,94.3000030517578,1021.28002929688,0,"0",0,"43"
2024-12-31,00:09:00,-2.73000001907349,94.3099975585938,1021.28002929688,0,"0",0,"43"
2024-12-31,00:10:00,-2.72000002861023,94.2799987792969,1021.27001953125,0,"0",0,"43"
2024-12-31,00:11:00,-2.73000001907349,94.2699966430664,1021.23999023438,0,"0",0,"43"
2024-12-31,00:12:00,-2.72000002861023,94.2900009155273,1021.26000976562,0,"0",0,"44"
2024-12-31,00:13:00,-2.71000003814697,94.3000030517578,1021.22998046875,0,"0",0,"43"
2024-12-31,00:14:00,-2.6800000667572,94.3300018310547,1021.28997802734,0,"0",0,"43"
2024-12-31,00:15:00,-2.67000007629395,94.3199996948242,1021.27001953125,0,"0",0,"43"
2024-12-31,00:16:00,-2.6800000667572,94.2799987792969,1021.28997802734,0,"0",0,"43"
2024-12-31,00:17:00,-2.70000004768372,94.2699966430664,1021.28002929688,0,"0",0,"44"
2024-12-31,00:18:00,-2.71000003814697,94.2699966430664,1021.27001953125,0,"0",0,"44"
2024-12-31,00:19:00,-2.70000004768372,94.2699966430664,1021.28997802734,0,"0",0,"43"
2024-12-31,00:20:00,-2.71000003814697,94.2600021362305,1021.30999755859,0,"0",0,"44"
2024-12-31,00:21:00,-2.73000001907349,94.25,1021.30999755859,0,"0",0,"44"
2024-12-31,00:22:00,-2.73000001907349,94.2600021362305,1021.28002929688,0,"0",0,"44"
2024-12-31,00:23:00,-2.74000000953674,94.25,1021.28002929688,0,"0",0,"43"
2024-12-31,00:24:00,-2.75,94.2600021362305,1021.27001953125,0,"0",0,"43"
2024-12-31,00:25:00,-2.75999999046326,94.25,1021.27001953125,0,"0",0,"43"
2024-12-31,00:26:00,-2.76999998092651,94.2600021362305,1021.27001953125,0,"0",0,"44"
2024-12-31,00:27:00,-2.77999997138977,94.2699966430664,1021.27001953125,0,"0",0,"43"
2024-12-31,00:28:00,-2.77999997138977,94.2799987792969,1021.28002929688,0,"0",0,"43"
2024-12-31,00:29:00,-2.77999997138977,94.2900009155273,1021.28002929688,0,"0",0,"43"
2024-12-31,00:30:00,-2.77999997138977,94.2900009155273,1021.28002929688,0,"0",0,"43"
2024-12-31,00:31:00,-2.75999999046326,94.3199996948242,1021.26000976562,0,"0",0,"43"
2024-12-31,00:32:00,-2.75999999046326,94.3099975585938,1021.23999023438,0,"0",0,"43"
2024-12-31,00:33:00,-2.75999999046326,94.3000030517578,1021.19000244141,0,"0",0,"43"
2024-12-31,00:34:00,-2.74000000953674,94.3199996948242,1021.21997070312,0,"0",0,"44"
2024-12-31,00:35:00,-2.74000000953674,94.2900009155273,1021.21997070312,0,"0",0,"43"
2024-12-31,00:36:00,-2.74000000953674,94.3099975585938,1021.20001220703,0,"0",0,"43"
2024-12-31,00:37:00,-2.72000002861023,94.3199996948242,1021.21997070312,0,"0",0,"44"
2024-12-31,00:38:00,-2.71000003814697,94.3199996948242,1021.20001220703,0,"0",0,"44"
2024-12-31,00:39:00,-2.70000004768372,94.3199996948242,1021.21002197266,0,"0",0,"43"
2024-12-31,00:40:00,-2.69000005722046,94.3099975585938,1021.21002197266,0,"0",0,"43"
2024-12-31,00:41:00,-2.6800000667572,94.3000030517578,1021.25,0,"0",0,"44"
2024-12-31,00:42:00,-2.6800000667572,94.2900009155273,1021.21997070312,0,"0",0,"43"
2024-12-31,00:43:00,-2.6800000667572,94.2900009155273,1021.27001953125,0,"0",0,"43"
2024-12-31,00:44:00,-2.66000008583069,94.3199996948242,1021.22998046875,0,"0",0,"43"
2024-12-31,00:45:00,-2.63000011444092,94.3000030517578,1021.28002929688,0,"0",0,"44"
2024-12-31,00:46:00,-2.63000011444092,94.3000030517578,1021.25,0,"0",0,"43"
2024-12-31,00:47:00,-2.61999988555908,94.2799987792969,1021.22998046875,0,"0",0,"43"
2024-12-31,00:48:00,-2.61999988555908,94.2600021362305,1021.27001953125,0,"0",0,"43"
2024-12-31,00:49:00,-2.65000009536743,94.2099990844727,1021.28002929688,0,"0",0,"44"
2024-12-31,00:50:00,-2.6800000667572,94.1999969482422,1021.26000976562,0,"0",0,"43"
2024-12-31,00:51:00,-2.69000005722046,94.2200012207031,1021.29998779297,0,"0",0,"44"
2024-12-31,00:52:00,-2.6800000667572,94.2099990844727,1021.28997802734,0,"0",0,"45"
2024-12-31,00:53:00,-2.6800000667572,94.1900024414062,1021.28002929688,0,"0",0,"44"
2024-12-31,00:54:00,-2.70000004768372,94.1399993896484,1021.29998779297,0,"0",0,"43"
2024-12-31,00:55:00,-2.71000003814697,94.1600036621094,1021.26000976562,0,"0",0,"44"
